Sno,Title,Experience & Benefits delivered
1,"Advisory for M&A, Separation, Divestment and Transformation",Transformations at Accenture Aster Group Aviva Carllyle GroupIDH Dental Directory Francisco Partners Keyloop GSK James Fisher PwC TOTSCo UCL and Virgin Care
2,Navigating Human Rights across the Supply Chain, Served Freedom of Information requests on UK Government Cabinet Office Civil Aviation Authority to validate opportunity in the light of High Court ruling on material data for statutory duty discharge in procurement and ATOL licensing  equality in realtime accessibility UV product safety EWHC1841  comparable opportunity suspected in private sector sharing common supply base and beyond the UK Exchanged MOU with new joint ventureIP distributor in Africa
3,IT Procurement Process Improvement, Delivered strategy to improve the process at an NHS Trust and resulted in improved buying processes and savings Reduced risk through better visibility of buying processes through approved suppliers Awarded a distinction from CIPS on this topic
4,IT Procurement Sourcing Strategies for Public sector, 10 years experience in IT Procurement covering all categories of IT in both Public and Private sector Experience of running endtoend tenders and the ongoing management of those contracts
5,IT Procurement Programme Delivery,I have experience as a Commercial Lead for a number of high profile projects such as a Cyber Security programme for a major airport and for Enforcement Cameras for a major Transport company
6,Expert Creation of Excel-based Supply Chain KPI's/Dashboards, Developed and delivered bespoke KPIs and dashboards for multiple clients significantly improving their supply chain performance Provided ongoing support and updates to further improve KPIs and ensure the Dashboard remains accurate and relevant over time Enabled clients to better manage inventory levels reduce costs and build more collaborative supplier relationships
7,"Software Licencing impact during Mergers, Acquisition or Divestments", Divestments of a business and negotiations of the costs incurred as a result of the business change Merging companies which result in the rationalisation of suppliers
8,Advice on IT Outsourcing and Business Transformation, Involved in end to end Outsourcing exercises throughout my career including RFPs SLAs and management of change Revisited and renegotiated services that no longer aligned to the original business vision when the Outsourcing Agreement was signed
9,IT Software Licensing and Asset Management,Involved in several multi million pound negotiations to reduce potential licensing costs due to a software Supplier claiming their Client is in breach of their licensing terms
10,How to manage a Software Licensing Audit,Involved in several multi million pound negotiations to reduce potential licensing costs due to a software Supplier claiming their Client is in breach of their licensing terms
11,Software Application Developments - Licensing and IPR ,Conducted major application upgrades and replacement procurement exercises across various private sector organisations which resulted in improved license terms an improved cost profile and the future proofing of business requirements
12,End to end supply operations review,Currently engaged on a end to end supply logistics model review for a manufacturing company  Previously held senior roles in retail distribution and manufacturing for large Plc  Experienced in transformational change project
13,"IT Procurement Advisory - SaaS, Hardware, Services, Outsourcing, Networks", 2021 Microsoft Enterprise Agreement renewal Negotiation of Global agreement with Microsoft across all 80 territories for 35000 users 35 savings achieved Delivery of 2m opex savings plan Audit settlement Following an audit a major software supplier made a substantial licence claim  I executed a commercial negotiation to agree a settlement which was 10m lower than the claim Franchise renegotiations  Renegotiation of a 2bn franchise contract delivering significant incremental revenue Website rebuild Renegotiation and remediation of incumbent web development provider relationship to rebuild a 1bn revenue website and boardlevel influencing to start the replatform programme 2023  Led sourcing of new Ecommerce platform and Product Information Management system
